VISIT_MONTH_YEAR_SHIFT_FROM_2;R2 Score
0;0.31294050862388223
1;0.3793321240166825
2;0.015462842048301617
3;0.21290920389815227
4;0.3319578706028721
5;0.267236748714323
6;0.23759416353281315
7;0.3346714123702107
8;0.5138272956972552
9;0.3573334678426944
10;0.008551226396941725
11;0.24053324913615903
12;0.47107278342347747
13;0.5652503134323706
14;0.5911315510776325
15;0.5228086293680803
16;0.4884869928072907
17;0.6013728752770262
18;0.3575412249502685
19;0.5067368485737185
20;0.6419123943335594
